"Year","Month","Day","Vessel_ID","catch_kg","Long","Lat","Depth","DayNight","Effort_hr"
1990,3,16,1,30,144.4,41.6,510,"D",4
1991,1,22,1,30,143.38,40.45,510,"D",3.5
1991,1,24,1,30,144.35,41.45,500,"D",3.5
1991,1,24,1,30,144.28,41.36,500,"D",4
1991,2,2,1,40,143.68,40.93,550,"M",4.5
1991,2,10,1,96,144.33,41.43,NA,"U",NA
1991,2,13,1,40,143.93,40.91,500,"M",4
1991,2,14,1,40,144.38,41.61,520,"M",5
1991,2,20,1,400,143.36,40.43,NA,"D",4
1991,2,21,1,40,144.01,41.18,932,"D",5
1991,2,22,1,100,144.31,41.43,NA,"U",NA
1991,2,22,1,40,144.36,41.61,NA,"U",NA
1991,3,1,1,40,143.76,40.95,800,"M",5
1991,3,1,1,40,143.88,41.03,914,"D",2.2
1991,3,1,1,80,144.03,41.18,600,"D",3
1991,3,4,1,40,143.86,40.98,500,"M",4.5
1991,3,6,1,120,144.4,41.58,520,"D",3.5
1991,3,12,1,40,143.45,40.56,500,"D",4
1991,3,12,1,40,143.6,40.61,500,"D",5
1991,3,13,1,40,143.05,41.18,510,"D",3
1991,3,13,1,40,144.16,41.28,NA,"D",3.2
1991,3,14,1,40,143.75,40.91,510,"M",4
1991,3,14,1,40,143.9,41.15,500,"D",4
1991,3,16,1,80,143.76,40.93,NA,"M",4.5
1991,3,18,1,80,143.33,40.41,500,"M",5
1991,3,20,1,40,143.73,40.93,NA,"M",3.2
1991,4,3,1,40,144.48,41.78,500,"M",4
1991,4,4,1,40,143.36,40.46,914,"D",1
1991,4,8,1,40,144,41.18,500,"U",NA
1991,4,8,1,80,144.33,41.43,500,"U",NA
1991,4,8,1,40,144.38,41.61,500,"U",NA
1991,4,9,1,40,144.41,41.68,500,"D",3
1991,4,13,1,40,144.38,41.61,493,"M",4
1991,5,15,1,10,143.38,40.46,584,"M",4
1991,5,15,1,20,143.73,40.93,548,"N",2.5
1991,5,16,1,5,144.28,41.2,548,"N",1.5
1991,5,16,1,5,144.01,41.18,493,"D",4
1991,5,17,1,10,144.01,41.18,548,"M",5
1991,5,17,1,10,144.31,41.35,584,"D",4
1991,5,17,1,5,144.31,41.18,566,"M",4
1991,5,18,1,10,144.38,41.61,548,"M",5
1991,5,18,1,5,144.48,41.78,566,"D",4
1991,5,18,1,10,144.48,41.61,584,"M",4
1991,5,19,1,10,143.36,40.46,584,"M",5
1991,5,19,1,5,143.66,40.78,548,"D",4
1991,5,19,1,5,143.36,40.46,511,"M",4
1991,9,16,1,40,143.36,40.46,548,"M",5
1991,9,16,1,80,143.46,40.78,548,"U",NA
1991,9,17,1,100,143.36,40.46,548,"M",5
1991,9,17,1,40,143.73,40.78,548,"D",5
1991,9,18,1,40,143.36,40.46,548,"M",6
1991,9,18,1,80,143.73,40.78,548,"D",6
1988,9,23,1,5,137.58,36.98,600,"D",0.6
1988,9,27,1,30,137.5,36.88,350,"D",2
1988,10,29,1,10,137.5,36.93,580,"D",2
1988,10,30,1,5,137.38,36.91,570,"D",1.8
1988,11,7,1,15,137.46,36.9,450,"D",2.5
1988,11,8,1,20,137.46,36.93,600,"D",2.6
1988,11,18,1,5,137.6,36.98,600,"D",3.5
1988,11,22,1,40,136.68,36.63,280,"D",2
1988,11,22,1,20,136.68,36.63,280,"D",2.2
1988,11,24,1,10,137.4,36.9,650,"D",3.8
1988,11,24,1,30,137.58,36.98,520,"D",2.5
1990,9,20,1,30,129.5,33.35,345,"M",3.5
1988,11,25,1,20,137.41,36.9,550,"D",2.6
1990,1,28,1,15,144.25,41.33,500,"D",4
1991,2,1,1,40,143.36,40.46,520,"M",5.5
1987,4,25,1,155,143.86,41.03,475,"M",3
1987,5,2,1,210,144.3,41.4,530,"M",3
1988,4,7,1,150,141.35,38.7,480,"D",2.5
1988,4,22,1,80,144.01,41.18,500,"M",5
1988,5,8,1,450,144.48,41.8,475,"D",4
1989,2,12,1,160,144.45,41.81,500,"D",2.5
1989,2,18,1,30,144.46,41.76,500,"D",4
1989,2,20,1,40,144.4,41.55,480,"M",2
1989,3,10,1,80,143.46,40.5,500,"N",1.5
1987,11,2,1,50,143.95,41.15,575,"D",5
1988,4,28,1,40,144.3,41.36,480,"D",4
1988,5,6,1,100,144.48,41.78,500,"M",5
1988,5,7,1,150,144.46,41.78,520,"D",4
1988,6,4,1,50,144.41,41.8,500,"M",4.5
1989,1,31,1,242,143.41,40.6,520,"D",4
1989,4,25,1,40,143.46,40.56,550,"M",4
1990,1,28,1,60,144.28,41.38,500,"D",4
1990,1,29,1,15,144.9,41.55,520,"D",5
1991,3,14,1,40,144.2,41.3,510,"M",4
1991,3,21,1,80,143.96,40.93,500,"M",6
1988,11,18,1,10,137.51,36.93,550,"D",2
1990,9,21,1,15,130.36,33.38,370,"D",3
1991,11,1,2,32,144.13,41.25,493,"D",4
